208.76.44.19,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.018-0700', 'current_time_unix': 1635053962.018, 'is_dst': True, 'dst_savings': 1}"
208.76.44.20,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.133-0700', 'current_time_unix': 1635053962.133, 'is_dst': True, 'dst_savings': 1}"
208.76.44.21,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.251-0700', 'current_time_unix': 1635053962.251, 'is_dst': True, 'dst_savings': 1}"
208.76.44.22,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.360-0700', 'current_time_unix': 1635053962.36, 'is_dst': True, 'dst_savings': 1}"
208.76.44.23,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.455-0700', 'current_time_unix': 1635053962.455, 'is_dst': True, 'dst_savings': 1}"
208.76.44.24,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.576-0700', 'current_time_unix': 1635053962.576, 'is_dst': True, 'dst_savings': 1}"
208.76.44.25,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.666-0700', 'current_time_unix': 1635053962.666, 'is_dst': True, 'dst_savings': 1}"
208.76.44.26,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.773-0700', 'current_time_unix': 1635053962.773, 'is_dst': True, 'dst_savings': 1}"
208.76.44.27,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:22.887-0700', 'current_time_unix': 1635053962.887, 'is_dst': True, 'dst_savings': 1}"
208.76.44.28,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.007-0700', 'current_time_unix': 1635053963.007, 'is_dst': True, 'dst_savings': 1}"
208.76.44.29,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.123-0700', 'current_time_unix': 1635053963.123, 'is_dst': True, 'dst_savings': 1}"
208.76.44.30,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.240-0700', 'current_time_unix': 1635053963.24, 'is_dst': True, 'dst_savings': 1}"
208.76.44.31,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.358-0700', 'current_time_unix': 1635053963.358, 'is_dst': True, 'dst_savings': 1}"
208.76.44.32,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.461-0700', 'current_time_unix': 1635053963.461, 'is_dst': True, 'dst_savings': 1}"
208.76.44.33,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.593-0700', 'current_time_unix': 1635053963.593, 'is_dst': True, 'dst_savings': 1}"
208.76.44.34,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.704-0700', 'current_time_unix': 1635053963.704, 'is_dst': True, 'dst_savings': 1}"
208.76.44.35,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.814-0700', 'current_time_unix': 1635053963.814, 'is_dst': True, 'dst_savings': 1}"
208.76.44.36,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:23.922-0700', 'current_time_unix': 1635053963.922, 'is_dst': True, 'dst_savings': 1}"
208.76.44.37,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.033-0700', 'current_time_unix': 1635053964.033, 'is_dst': True, 'dst_savings': 1}"
208.76.44.38,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.150-0700', 'current_time_unix': 1635053964.15, 'is_dst': True, 'dst_savings': 1}"
208.76.44.39,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:24.259-0700', 'current_time_unix': 1635053964.259, 'is_dst': True, 'dst_savings': 1}"
